stream_code,career_outcome_code,relationship_type,version,source_document
HUM-STR-TRANS-LANGTECH,CAR-HUM-TRANS-LANGTECH-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-LANGTRUSANDSAFE,CAR-HUM-TRANS-LANGTRUSANDSAFE-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-LOCA,CAR-HUM-TRANS-LOCA-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-AIASSICONTAND,CAR-HUM-PUB-AIASSICONTAND-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-AIERAPUBLAND,CAR-HUM-PUB-AIERAPUBLAND-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-AIERAPUBLAND,CAR-HUM-PUB-AIERAPUBLAND-02,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-AIERAPUBLAND,CAR-HUM-PUB-AIERAPUBLAND-03,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-AIERAPUBLAND,CAR-HUM-PUB-AIERAPUBLAND-04,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-AIERAPUBLAND,CAR-HUM-PUB-AIERAPUBLAND-05,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-AIERAPUBLAND,CAR-HUM-PUB-AIERAPUBLAND-06,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-ACADANDSCHOPUBL,CAR-HUM-PUB-ACADANDSCHOPUBL-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-ACADANDSCHOPUBL,CAR-HUM-PUB-ACADANDSCHOPUBL-02,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-ACADANDSCHOPUBL,CAR-HUM-PUB-ACADANDSCHOPUBL-03,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-AUDIPUBL,CAR-HUM-PUB-AUDIPUBL-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-CHILSANDEDUC,CAR-HUM-PUB-CHILSANDEDUC-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-DIGIPUBL,CAR-HUM-PUB-DIGIPUBL-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-DIGIPUBL,CAR-HUM-PUB-DIGIPUBL-02,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-DIGIPUBL,CAR-HUM-PUB-DIGIPUBL-03,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-DIGIPUBL,CAR-HUM-PUB-DIGIPUBL-04,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-DIGIPUBL,CAR-HUM-PUB-DIGIPUBL-05,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-DIGIPUBL,CAR-HUM-PUB-DIGIPUBL-06,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-DIGIPUBL,CAR-HUM-PUB-DIGIPUBL-07,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-EDITPRAC,CAR-HUM-PUB-EDITPRAC-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-EDITPRAC,CAR-HUM-PUB-EDITPRAC-02,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-EDITPRAC,CAR-HUM-PUB-EDITPRAC-03,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-EDITPRAC,CAR-HUM-PUB-EDITPRAC-04,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-EDITPRAC,CAR-HUM-PUB-EDITPRAC-05,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-EDITPRAC,CAR-HUM-PUB-EDITPRAC-06,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-EDITPRAC,CAR-HUM-PUB-EDITPRAC-07,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-EDUCPUBL,CAR-HUM-PUB-EDUCPUBL-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-EDUCPUBL,CAR-HUM-PUB-EDUCPUBL-02,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-HERIANDCULTPUBL,CAR-HUM-PUB-HERIANDCULTPUBL-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-HERIANDCULTPUBL,CAR-HUM-PUB-HERIANDCULTPUBL-02,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
